item,statement,claim
Q616975,P137,['Q132450069']
Q359610,P21,['Q6581097']
Q359610,P27,['Q30']
Q359610,P31,['Q5']
Q359610,P735,['Q1282258']
Q359610,P106,"['Q36180', 'Q715301', 'Q644687', 'Q15296811', 'Q1607826']"
Q359610,P734,['Q21506692']
Q359610,P7763,['Q73555012']
Q359610,P1412,['Q1860']
Q359610,P101,"['Q21550668', 'Q1004']"
Q43874,P27,['Q30']
Q43874,P19,['Q18419']
Q43874,P106,"['Q245068', 'Q10800557', 'Q28389', 'Q10798782', 'Q2405480', 'Q3282637', 'Q2526255', 'Q177220', 'Q578109', 'Q3455803', 'Q33999', 'Q753110', 'Q36180', 'Q47541952']"
Q43874,P31,['Q5']
Q43874,P166,"['Q1899850', 'Q41254', 'Q723830', 'Q105447', 'Q268200', 'Q1421666', 'Q530923', 'Q17985761', 'Q640353']"
Q43874,P735,"['Q278835', 'Q21279602']"
Q43874,P1411,"['Q106291', 'Q1238714', 'Q1421666']"
Q43874,P734,['Q1953798']
Q43874,P1412,['Q1860']
Q43874,P26,"['Q21933511', 'Q27051256']"
Q43874,P451,['Q27051256']
Q43874,P3373,['Q559074']
Q43874,P136,"['Q157443', 'Q4209421', 'Q5151495', 'Q53094', 'Q7225114', 'Q211756', 'Q7189589', 'Q128758', 'Q17112404', 'Q5185736', 'Q5778915', 'Q1298934', 'Q850412', 'Q164444']"
Q43874,P910,['Q8951298']
Q43874,P1283,['Q17114049']
Q43874,P800,"['Q1203222', 'Q722267', 'Q844887', 'Q537407']"
Q43874,P40,"['Q79140977', 'Q79141150', 'Q79141280', 'Q79141409', 'Q79141861', 'Q79142573', 'Q79141591']"
Q43874,P21,['Q6581097']
Q43874,P1303,"['Q17172850', 'Q64166304', 'Q6607', 'Q901207']"
Q43874,P172,['Q49085']
Q43874,P7084,['Q8453691']
Q43874,P1343,['Q67311526']
Q43874,P5008,['Q15304953']
Q43874,P264,['Q43327']
Q43874,P358,['Q17101981']
Q43874,P1340,['Q17244894']
Q43874,P1884,['Q1922956']
Q43874,P103,['Q1860']
Q43874,P1889,['Q1783540']
Q43874,P69,"['Q7366450', 'Q6967558']"
Q43874,P463,['Q3446599']
Q43874,P10606,['Q748427']
Q1266029,P279,"['Q515', 'Q188509']"
Q1266029,P1343,['Q76223932']
Q1266029,P2354,['Q6617867']
Q1266029,P910,['Q65708823']
Q158932,P31,['Q215380']
Q158932,P358,['Q3709425']
Q158932,P495,['Q183']
Q158932,P910,['Q9654294']
Q158932,P136,['Q57143']
Q158932,P264,"['Q292128', 'Q158886']"
Q158932,P527,"['Q58041', 'Q2566813', 'Q3709169', 'Q3133829', 'Q5442155']"
Q158932,P1424,['Q10523483']
Q158932,P740,['Q3963']
Q158932,P6365,['Q23892223']
Q723846,P910,"['Q8400974', 'Q9445056']"
Q723846,P279,['Q729']
Q723846,P138,['Q1119841']
Q723846,P31,['Q74817647']
Q860416,P527,['Q155925']
Q860416,P31,"['Q1137226', 'Q10675206']"
Q860416,P495,['Q148']
Q860416,P1343,"['Q3181656', 'Q1768721']"
Q860416,P1889,['Q1137226']
Q860416,P366,['Q17582679']
Q860416,P1535,['Q2488176']
Q860416,P2012,"['Q5876122', 'Q10876842']"
Q17155531,P31,"['Q1192543', 'Q1156854']"
Q17155531,P1001,['Q30']
Q17155531,P361,['Q842270']
Q17155531,P180,['Q820655']
Q17155531,P2384,['Q820655']
Q17155531,P1424,['Q24026910']
Q17155531,P460,['Q61002900']
Q17155531,P921,['Q7079604']
Q273787,P21,['Q6581097']
Q273787,P31,['Q5']
Q273787,P27,['Q142']
Q273787,P19,['Q85']
Q273787,P106,"['Q715301', 'Q1114448', 'Q36180']"
Q273787,P108,['Q683203']
Q273787,P3373,['Q2937851']
Q273787,P1038,"['Q3332827', 'Q3351122', 'Q2851070']"
Q273787,P735,['Q221774']
Q273787,P1412,['Q150']
Q273787,P734,['Q83361472']
Q1711593,P279,"['Q17489659', 'Q47461344', 'Q571']"
Q1711593,P1889,"['Q4230425', 'Q105420', 'Q1143604', 'Q2217301']"
Q1711593,P527,['Q21481766']
Q1711593,P31,['Q104624828']
Q273837,P31,"['Q2085381', 'Q1320047']"
Q273837,P17,['Q142']
Q273837,P159,['Q90']
Q273837,P1037,['Q3165542']
Q273837,P138,['Q23390']
Q273837,P112,['Q3292294']
Q273837,P1454,['Q98897593']
Q273837,P452,['Q112165919']
Q273837,P3975,['Q115207530']
Q273837,P629,['Q126368599']
Q273837,P921,"['Q1066186', 'Q34178', 'Q5891', 'Q34187']"
Q273835,P31,"['Q2085381', 'Q1320047']"
Q273835,P17,['Q142']
Q273835,P159,['Q90']
Q273835,P112,['Q313709']
Q273835,P749,['Q349566']
Q273835,P910,['Q9590781']
Q273835,P6379,['Q98904445']
Q273835,P452,['Q112165919']
Q273835,P5008,['Q117222928']
Q273835,P1454,['Q112176862']
Q273835,P463,['Q3508443']
Q5340090,P31,['Q5']
Q5340090,P21,['Q6581072']
Q5340090,P735,['Q746548']
Q5340090,P26,['Q739119']
Q5340090,P106,['Q15995642']
Q5340090,P140,['Q6052374']
Q67963,P21,['Q6581097']
Q67963,P19,['Q6602']
Q67963,P20,['Q29245']
Q67963,P27,"['Q174193', 'Q142']"
Q67963,P31,['Q5']
Q67963,P106,"['Q14915627', 'Q486748', 'Q36834', 'Q1622272', 'Q639669']"
Q67963,P735,"['Q15921764', 'Q221774']"
Q67963,P1343,"['Q1766280', 'Q27680201', 'Q16011749', 'Q118809333', 'Q15712417']"
Q67963,P69,['Q312578']
Q67963,P1303,['Q5994']
Q67963,P3373,['Q4154883']
Q67963,P734,['Q21452735']
Q67963,P1412,['Q1860']
Q67963,P108,['Q1144673']
Q67963,P119,['Q84']
Q67963,P6886,['Q1860']
Q67963,P1066,['Q159551']
Q67963,P3919,"['Q16011749', 'Q867541']"
Q5343479,P31,['Q5']
Q5343479,P21,['Q6581097']
Q5343479,P735,"['Q278835', 'Q52003661']"
Q5343479,P39,"['Q18662245', 'Q56477698', 'Q61741803']"
Q5343479,P27,"['Q408', 'Q174193']"
Q5343479,P1412,['Q1860']
Q5343479,P40,['Q6962576']
Q5343479,P734,['Q16870834']
Q5343479,P166,['Q833163']
Q5343479,P106,"['Q6606110', 'Q2961975', 'Q82955', 'Q786820']"
Q5343479,P102,['Q3240602']
Q5343479,P19,['Q5146491']
Q5343479,P69,"['Q7243805', 'Q15574']"
Q5343479,P20,['Q7053663']
Q5343479,P108,"['Q29281', 'Q4856013']"
Q5343479,P463,['Q5377913']
Q5343479,P6886,['Q1860']
Q5343479,P509,['Q12202']
Q5343479,P1196,['Q3739104']
Q5343479,P22,['Q21538937']
Q123509272,P31,"['Q2915955', 'Q49773']"
Q123509272,P5004,"['Q13489381', 'Q611217']"
Q123509272,P737,"['Q7027450', 'Q184226', 'Q352465', 'Q9061', 'Q216582']"
Q123509272,P921,"['Q24882728', 'Q237525']"
Q123509272,P1889,['Q18389746']
Q123509272,P61,['Q123642993']
Q123509272,P138,"['Q13489381', 'Q16001522']"
Q123509272,P279,"['Q16001522', 'Q2892659', 'Q3961858']"
Q78032,P21,['Q6581097']
Q78032,P19,['Q47554']
Q78032,P20,['Q270']
Q78032,P27,['Q172107']
Q78032,P31,['Q5']
Q78032,P106,['Q42973']
Q78032,P735,['Q16275698']
Q78032,P101,['Q12271']
Q78032,P800,['Q1767296']
Q78032,P1343,['Q1485141']
Q605069,P31,"['Q189819', 'Q2207288', 'Q2018526']"
Q605069,P17,"['Q212', 'Q159', 'Q36', 'Q184', 'Q218', 'Q794', 'Q227', 'Q79', 'Q224', 'Q219']"
Q605069,P5008,['Q10780973']
Q22404,P527,['Q93189']
Q22404,P279,"['Q477248', 'Q746549', 'Q339836']"
Q22404,P495,['Q145']
Q5347861,P527,"['Q93189', 'Q8495', 'Q283', 'Q13228']"
Q5347861,P31,['Q10675206']
Q5347861,P2012,['Q6661']
Q5347861,P495,['Q142']
Q86455,P31,['Q5']
Q86455,P19,['Q1735']
Q86455,P106,"['Q2374149', 'Q121594', 'Q2487799', 'Q864503']"
Q86455,P27,['Q40']
Q86455,P735,['Q987902']
Q86455,P734,['Q928698']
Q86455,P69,['Q875788']
Q86455,P21,['Q6581097']
Q86455,P1412,['Q188']
Q86455,P108,['Q11942']
Q1298429,P31,['Q378427']
Q1298429,P138,['Q78791']
Q1298429,P1889,['Q11722748']
Q1298429,P2517,['Q8983700']
Q1298429,P910,['Q111382341']
Q1298429,P8324,['Q72826']
Q1298429,P361,['Q1605666']
Q1298429,P17,['Q183']
Q205740,P910,['Q8408959']
Q205740,P279,"['Q9134', 'Q9174']"
Q205740,P31,['Q9134']
Q205740,P361,"['Q145903', 'Q447131']"
Q205740,P527,"['Q145915', 'Q262099', 'Q918104', 'Q25203206']"
Q205740,P1343,['Q110765335']
Q205740,P5008,['Q6173448']
Q205740,P2579,['Q145903']
Q959279,P463,"['Q166400', 'Q726776']"
Q959279,P159,['Q85']
Q959279,P910,['Q9877622']
Q959279,P31,"['Q15265344', 'Q18127', 'Q327333']"
Q959279,P1454,"['Q2324556', 'Q17990971']"
Q959279,P17,['Q79']
Q959279,P800,"['Q29513735', 'Q12237729', 'Q12212779', 'Q12189116', 'Q12192172']"
Q959279,P131,['Q85']
Q959279,P488,['Q12178675']
Q919238,P279,"['Q855747', 'Q44539', 'Q811979']"
Q85758747,P155,['Q20800604']
Q85758747,P1411,['Q104597417']
Q85758747,P31,['Q571']
Q85758747,P50,['Q437263']
Q85758747,P407,['Q1860']
Q85758747,P110,['Q102397859']
Q38245,P31,"['Q847017', 'Q476028']"
Q38245,P118,['Q82595']
Q38245,P286,"['Q362506', 'Q154305', 'Q61392', 'Q157370', 'Q61392', 'Q76651', 'Q550732', 'Q679901', 'Q385304', 'Q687925', 'Q124805', 'Q660111', 'Q153293', 'Q65482', 'Q315409', 'Q879457', 'Q708813', 'Q143104', 'Q152107', 'Q143104', 'Q508529', 'Q579232', 'Q708813', 'Q65482', 'Q302751', 'Q871747', 'Q706759', 'Q871747', 'Q315265', 'Q44917', 'Q531378', 'Q700148', 'Q119349', 'Q533377', 'Q882187', 'Q505906', 'Q44917', 'Q551314', 'Q1576872', 'Q315265', 'Q507698', 'Q1888566', 'Q688186', 'Q874136', 'Q363553', 'Q17126547', 'Q16295669', 'Q157820', 'Q17126597', 'Q679271', 'Q832727', 'Q679271', 'Q62086404', 'Q874136', 'Q62086485', 'Q874136', 'Q875080', 'Q62086518', 'Q6793410', 'Q370782', 'Q62086535', 'Q1010505', 'Q874777', 'Q877918']"
Q38245,P910,['Q8409382']
Q38245,P641,"['Q2736', 'Q3930', 'Q542', 'Q1455', 'Q32112', 'Q847', 'Q43450', 'Q8418', 'Q5378', 'Q5372', 'Q1070325', 'Q1734', 'Q131471', 'Q41466', 'Q10980', 'Q244700', 'Q14922', 'Q300920']"
Q38245,P17,['Q183']
Q38245,P159,['Q1794']
Q38245,P6112,"['Q8409391', 'Q32007073']"
Q38245,P6364,"['Q3142', 'Q23445', 'Q23444']"
Q38245,P859,['Q1045367']
Q38245,P115,['Q157273']
Q38245,P1344,"['Q2514679', 'Q2151750']"
Q38245,P2522,['Q754508']
Q38245,P1424,['Q11017507']
Q38245,P1454,['Q9299236']
Q38245,P452,['Q124022875']
Q13422541,P910,['Q8395917']
Q13422541,P159,['Q8692']
Q13422541,P31,"['Q340169', 'Q1126006', 'Q4830453', 'Q43229', 'Q11032', 'Q431289', 'Q14350', 'Q289', 'Q35127']"
Q13422541,P17,['Q29']
Q13422541,P1056,"['Q11424', 'Q38926', 'Q15078788']"
Q13422541,P452,"['Q11033', 'Q11030', 'Q15078788']"
Q13422541,P1830,"['Q3059028', 'Q3046211', 'Q544048', 'Q3046218', 'Q8771362', 'Q3046215', 'Q3060994', 'Q3100760', 'Q3099805', 'Q932892', 'Q3416920']"
Q13422541,P740,['Q8692']
Q13422541,P166,['Q12266593']
Q13422541,P407,['Q8752']
Q5350016,P17,['Q30']
Q5350016,P131,['Q1415']
Q5350016,P31,"['Q207694', 'Q1007870', 'Q163740']"
Q5350016,P276,['Q6346']
Q5350016,P7561,['Q110794733']
Q5350016,P1454,['Q18325436']
Q5350016,P159,['Q6346']
Q5350016,P8596,['Q111055604']
Q5350016,P5514,['Q2842849']
Q5350016,P463,['Q125470227']
Q3730064,P31,['Q1004']
Q3730064,P495,['Q29']
Q3730064,P50,['Q981460']
Q3730064,P179,['Q1100856']
Q3730064,P136,['Q1474729']
Q3730064,P407,['Q1321']
Q3730064,P123,['Q3275000']
Q3730064,P1433,['Q6024457']
Q526622,P17,['Q414']
Q526622,P131,"['Q781553', 'Q1486']"
Q526622,P31,"['Q12518', 'Q41176']"
Q301,P735,['Q98446488']
Q301,P106,"['Q1028181', 'Q1281618', 'Q42973', 'Q14623005', 'Q11569986']"
Q301,P119,['Q3775034']
Q301,P20,['Q5836']
Q301,P31,['Q5']
Q301,P910,['Q8409551']
Q301,P27,"['Q217196', 'Q4948']"
Q301,P136,"['Q1400853', 'Q3374376', 'Q2414609', 'Q1962682', 'Q214127', 'Q742333', 'Q191163', 'Q134307']"
Q301,P40,['Q3109427']
Q301,P1343,"['Q302556', 'Q51955019', 'Q67311526', 'Q602358', 'Q867541', 'Q20096917', 'Q4532138']"
Q301,P800,"['Q617629', 'Q883994', 'Q94802', 'Q6402081', 'Q3078569', 'Q3280557', 'Q5949742', 'Q1220013', 'Q2255224', 'Q133281030']"
Q301,P135,"['Q430167', 'Q131808']"
Q301,P451,['Q22348228']
Q301,P937,"['Q641', 'Q220', 'Q2807', 'Q5836']"
Q301,P140,['Q9592']
Q301,P1412,"['Q1321', 'Q9129']"
Q301,P21,['Q6581097']
Q301,P6379,"['Q679527', 'Q160112', 'Q239303', 'Q1976985', 'Q176251', 'Q731126', 'Q1464509', 'Q214867', 'Q842858', 'Q1700481', 'Q2628596', 'Q17153751', 'Q33119180', 'Q682827', 'Q160236', 'Q2037255', 'Q2274725', 'Q16579764', 'Q1322403', 'Q18755349', 'Q976019', 'Q1136338', 'Q28664145', 'Q51252', 'Q2163496', 'Q194626', 'Q3107709', 'Q4204518', 'Q772890', 'Q2051997', 'Q3329346', 'Q2018379', 'Q1743116', 'Q1760539', 'Q745866', 'Q1741629', 'Q2266081', 'Q5484867', 'Q1748404', 'Q3773707', 'Q612530', 'Q403080', 'Q150066', 'Q1581475', 'Q768446', 'Q3783572', 'Q2603905', 'Q4693034', 'Q5114675', 'Q1368166', 'Q6129019', 'Q3303786', 'Q127064', 'Q1779837', 'Q860812', 'Q566661', 'Q632682', 'Q12060910', 'Q4318653', 'Q3878590', 'Q28647411', 'Q774128', 'Q9046913', 'Q2097646', 'Q16579767', 'Q511', 'Q861252', 'Q1103550', 'Q180788', 'Q290549', 'Q82941', 'Q653002', 'Q1167467', 'Q812285', 'Q1319192', 'Q510324', 'Q405543', 'Q3848124', 'Q1117704', 'Q840886', 'Q386570', 'Q816669', 'Q895434', 'Q11786951', 'Q1535963', 'Q671384', 'Q1068063', 'Q4894835', 'Q414219', 'Q132783', 'Q286389', 'Q666331', 'Q685038', 'Q847508', 'Q210081', 'Q338367', 'Q657415', 'Q1752085', 'Q2420849', 'Q1372546', 'Q2620702', 'Q3368135', 'Q3330217', 'Q6815343', 'Q7741188', 'Q190804', 'Q428559', 'Q3757690', 'Q526170', 'Q3683040', 'Q1416890', 'Q578485', 'Q1362629', 'Q1848918', 'Q808462', 'Q1419555', 'Q2977589', 'Q1201549', 'Q4872', 'Q2970522', 'Q49133', 'Q1264942', 'Q1132918', 'Q689829', 'Q464404', 'Q2148186', 'Q1576793', 'Q809600', 'Q165631', 'Q1135243', 'Q2046319', 'Q6033277', 'Q6034310', 'Q1321874', 'Q1489852', 'Q2188329', 'Q246821', 'Q3300602', 'Q171517', 'Q7981191', 'Q1229770', 'Q105298810', 'Q750403']"
Q301,P101,['Q11629']
Q301,P734,['Q98446489']
Q301,P7763,['Q71887839']
Q301,P172,['Q539051']
Q301,P802,"['Q1336030', 'Q5274855']"
Q301,P5008,"['Q104694359', 'Q6173448']"
Q301,P19,"['Q160544', 'Q1417399']"
Q301,P1889,['Q1209954']
Q301,P9969,"['Q66243506', 'Q101552417', 'Q102178594', 'Q104190946', 'Q104223805', 'Q105755094', 'Q104246392']"
Q301,P9493,"['Q5503390', 'Q98665879', 'Q64579481']"
Q301,P1424,['Q20319219']
Q56309822,P279,['Q123705']
Q56309822,P17,['Q262']
Q152233,P21,['Q6581097']
Q152233,P106,"['Q1028181', 'Q42973', 'Q627325', 'Q33231', 'Q354034', 'Q37226', 'Q5322166', 'Q1229025', 'Q15296811', 'Q3391743', 'Q483501']"
Q152233,P27,"['Q34266', 'Q15180', 'Q159']"
Q152233,P509,['Q12204']
Q152233,P19,['Q183162']
Q152233,P20,['Q649']
Q152233,P31,['Q5']
Q152233,P1050,['Q12204']
Q152233,P735,['Q12794654']
Q152233,P1343,"['Q17378135', 'Q1145552', 'Q67311526', 'Q28666511', 'Q126953276']"
Q152233,P1196,['Q3739104']
Q152233,P910,['Q18751141']
Q152233,P119,['Q1242128']
Q152233,P135,"['Q207103', 'Q191970']"
Q152233,P103,['Q7737']
Q152233,P136,"['Q191970', 'Q207103']"
Q152233,P69,"['Q411895', 'Q310695']"
Q152233,P1412,"['Q7737', 'Q8641', 'Q188']"
Q152233,P1875,['Q4801318']
Q152233,P1344,['Q265533']
Q152233,P6379,"['Q239303', 'Q176251', 'Q188740', 'Q430682', 'Q214867', 'Q1068063', 'Q1700481', 'Q1464509', 'Q160236', 'Q2235294', 'Q213322', 'Q879819', 'Q1499958', 'Q924335', 'Q1782422', 'Q201469', 'Q1641836', 'Q2559128', 'Q1568434', 'Q657415', 'Q99346823', 'Q913672', 'Q1600831', 'Q3783572', 'Q1017269', 'Q191228', 'Q103776961', 'Q510144', 'Q731126', 'Q105027234', 'Q700222', 'Q510324', 'Q316514']"
Q152233,P6275,"['Q71521142', 'Q71528227', 'Q2520874']"
Q152233,P7763,['Q71887839']
Q152233,P5008,"['Q104694359', 'Q121437821']"
Q152233,P40,['Q108887755']
Q152233,P9493,"['Q5503390', 'Q64579481']"
Q152233,P26,['Q1592391']
Q152233,P101,"['Q36649', 'Q12271', 'Q1066582', 'Q102932']"
Q152233,P1142,['Q6186']
Q3727139,P50,['Q981460']
Q3727139,P179,['Q1100856']
Q3727139,P495,['Q29']
Q3727139,P136,['Q1474729']
Q3727139,P407,['Q1321']
Q3727139,P123,['Q3275000']
Q3727139,P31,['Q1004']
Q3752714,P50,['Q981460']
Q3752714,P179,['Q1100856']
Q3752714,P495,['Q29']
Q3752714,P136,['Q1474729']
Q3752714,P407,['Q1321']
Q3752714,P123,['Q3275000']
Q3752714,P31,['Q1004']
Q8774180,P138,['Q190564']
Q8774180,P31,"['Q188451', 'Q107357104']"
Q8774180,P279,['Q201022']
Q8774180,P495,['Q29']
Q5353278,P31,['Q5']
Q5353278,P21,['Q6581072']
Q5353278,P69,['Q332498']
Q5353278,P735,['Q2646814']
Q5353278,P27,['Q30']
Q5353278,P19,['Q52471']
Q5353278,P734,['Q1618104']
Q5353278,P106,['Q15995642']
Q3075768,P279,['Q45594']
Q3075768,P1889,['Q830043']
Q2629163,P17,['Q30']
Q2629163,P279,['Q15995642']
Q2629163,P140,['Q42504']
Q2629163,P31,['Q123385977']
Q2917190,P17,['Q145']
Q2917190,P921,['Q59604']
Q2917190,P112,['Q57798']
Q2917190,P279,['Q4989906']
Q1394029,P910,"['Q7131312', 'Q8819588']"
Q1394029,P279,['Q152']
Q1394029,P1343,['Q63284758']
Q13629441,P516,['Q72313']
Q13629441,P279,['Q752870']
Q13629441,P910,['Q7373712']
Q13629441,P2184,['Q4355707']
Q13629441,P618,['Q11651']
Q13629441,P5008,['Q15305047']
Q13629441,P31,['Q334166']
Q13629441,P1365,"['Q162927', 'Q11320216']"
Q1327300,P279,"['Q1714118', 'Q41298']"
Q1327300,P1889,['Q847906']
Q1327300,P460,['Q3428753']
Q5358384,P279,['Q768186']
Q5358384,P641,['Q847']
Q5358395,P279,['Q639669']
Q5358395,P31,"['Q66715801', 'Q12737077']"
Q5358395,P425,['Q9778']
Q5358395,P910,['Q7040010']
Q302334,P31,['Q189819']
Q302334,P361,['Q132612']
Q302334,P1343,['Q2041543']
Q132911,P910,['Q8411861']
Q132911,P279,"['Q811979', 'Q334166', 'Q11019', 'Q9249606', 'Q4368509']"
Q132911,P1343,"['Q19219752', 'Q867541', 'Q20078554', 'Q124355862']"
Q132911,P1687,['P1301']
Q132911,P1889,"['Q194433', 'Q16686611', 'Q2583426']"
Q132911,P5008,['Q6173448']
Q132911,P31,['Q334166']
Q132911,P527,"['Q122068021', 'Q107197203', 'Q760158', 'Q760161']"
Q264831,P31,['Q786820']
Q264831,P112,['Q5523999']
Q264831,P910,['Q8411878']
Q264831,P17,['Q408']
Q264831,P159,['Q3141']
Q264831,P452,['Q190117']
Q5361973,P361,['Q65153628']
Q5361973,P279,['Q7278']
Q5361973,P31,['Q123574795']
Q5362318,P119,['Q6692608']
Q5362318,P31,['Q5']
Q5362318,P21,['Q6581072']
Q5362318,P735,['Q385468']
Q5362318,P27,['Q30']
Q5362318,P26,['Q465580']
Q5362318,P20,['Q23337']
Q5362318,P19,['Q755197']
Q5362318,P140,['Q42504']
Q5362318,P106,['Q15995642']
Q5362318,P40,['Q7422060']
Q5363647,P31,['Q5']
Q5363647,P21,['Q6581072']
Q5363647,P27,['Q664']
Q5363647,P735,['Q385468']
Q5363647,P734,['Q17066584']
Q5363647,P106,"['Q7590', 'Q601401', 'Q26643', 'Q43183']"
Q5366782,P119,['Q6692608']
Q5366782,P31,['Q5']
Q5366782,P21,['Q6581072']
Q5366782,P27,['Q30']
Q5366782,P20,['Q23337']
Q5366782,P19,['Q3708268']
Q5366782,P140,['Q42504']
Q5366782,P106,['Q15995642']
Q5366782,P735,['Q58148978']
Q5366782,P734,['Q15080511']
Q5366782,P40,['Q6729035']
Q1328627,P31,['Q378427']
Q1328627,P17,['Q34']
Q1328627,P138,['Q466623']
Q1328627,P1027,['Q10684791']
Q4137,P21,['Q6581072']
Q4137,P19,['Q649']
Q4137,P20,['Q674786']
Q4137,P27,"['Q34266', 'Q142']"
Q4137,P31,['Q5']
Q4137,P166,"['Q187300', 'Q960966', 'Q670473']"
Q4137,P735,['Q1077181']
Q4137,P509,['Q12152']
Q4137,P103,['Q7737']
Q4137,P800,['Q3228512']
Q4137,P26,['Q4128']
Q4137,P69,['Q13164']
Q4137,P1412,"['Q150', 'Q7737']"
Q4137,P1343,"['Q17378135', 'Q2657718', 'Q67311526', 'Q28666511']"
Q4137,P1196,['Q3739104']
Q4137,P3373,['Q260537']
Q4137,P6886,"['Q7737', 'Q150']"
Q4137,P119,['Q3325679']
Q4137,P734,['Q65114384']
Q4137,P10527,['Q50920401']
Q4137,P106,"['Q36180', 'Q6625963', 'Q49757', 'Q28389', 'Q23833535']"
Q214687,P21,['Q6581072']
Q214687,P19,['Q64']
Q214687,P20,['Q84']
Q214687,P31,['Q5']
Q214687,P106,"['Q1028181', 'Q483501']"
Q214687,P135,['Q80113']
Q214687,P27,['Q183']
Q214687,P735,['Q11857606']
Q214687,P26,['Q213727']
Q214687,P734,['Q21449170']
Q214687,P6379,"['Q430682', 'Q1464509', 'Q4886600']"
Q214687,P101,['Q11629']
Q214687,P7763,['Q73555012']
Q214687,P1412,['Q188']
Q663793,P31,"['Q41298', 'Q737498']"
Q663793,P98,"['Q641843', 'Q1605055', 'Q13737971', 'Q522877']"
Q663793,P123,"['Q18434420', 'Q120843031']"
Q663793,P495,"['Q55', 'Q29999']"
Q663793,P407,['Q7411']
Q663793,P1889,['Q746413']
Q663793,P921,['Q1684600']
Q663793,P127,"['Q998470', 'Q18434420']"
Q5367721,P31,['Q5']
Q5367721,P21,['Q6581072']
Q5367721,P735,['Q28193056']
Q5367721,P1343,"['Q15987216', 'Q602358', 'Q19219752', 'Q114693785', 'Q19180675', 'Q867541', 'Q103843006', 'Q124350773']"
Q5367721,P140,['Q8253258']
Q5367721,P106,['Q15995642']
Q5367721,P27,['Q161885']
Q5367721,P734,"['Q16860612', 'Q2800825']"
Q303,P735,"['Q1174817', 'Q18410868', 'Q905085']"
Q303,P27,['Q30']
Q303,P19,['Q667727']
Q303,P20,"['Q16563', 'Q545360']"
Q303,P26,['Q234773']
Q303,P40,['Q237324']
Q303,P119,['Q545360']
Q303,P106,"['Q10800557', 'Q177220', 'Q36834', 'Q33999', 'Q47064', 'Q189290', 'Q12362622', 'Q15253558']"
Q303,P358,['Q786776']
Q303,P910,['Q8412211']
Q303,P31,['Q5']
Q303,P412,['Q31687']
Q303,P734,['Q31046554']
Q303,P166,"['Q935843', 'Q5587398', 'Q179191', 'Q56479277', 'Q17985761', 'Q17144', 'Q41254']"
Q303,P136,"['Q7749', 'Q37073', 'Q203720', 'Q83440', 'Q180268', 'Q45981', 'Q9759', 'Q484641', 'Q613408', 'Q11399']"
Q303,P25,['Q12363015']
Q303,P1412,['Q1860']
Q303,P22,['Q4377426']
Q303,P1303,"['Q6607', 'Q5994', 'Q17172850', 'Q46185']"
Q303,P69,['Q5940716']
Q303,P1424,['Q6368007']
Q303,P241,['Q9212']
Q303,P264,"['Q898618', 'Q3415083']"
Q303,P3373,['Q16408125']
Q303,P3828,['Q16472452']
Q303,P103,['Q1860']
Q303,P5008,"['Q5460604', 'Q6173448']"
Q303,P1196,['Q3739104']
Q303,P551,['Q545360']
Q303,P1283,['Q2992759']
Q303,P21,['Q6581097']
Q303,P2354,"['Q10272105', 'Q10272100', 'Q16323486']"
Q303,P793,"['Q28720760', 'Q580750']"
Q303,P641,['Q11419']
Q303,P485,"['Q14708020', 'Q7895690']"
Q303,P6275,['Q891885']
Q303,P1343,['Q67311526']
Q303,P410,['Q157696']
Q303,P509,['Q12152']
Q303,P7763,['Q73555012']
Q303,P8852,['Q890356']
Q303,P1889,['Q25420559']
Q303,P6886,['Q1860']
Q303,P7779,"['Q4635874', 'Q4635042']"
Q303,P1038,['Q16216016']
Q303,P451,"['Q2850191', 'Q592678']"
Q303,P1552,['Q7858396']
Q687288,P910,['Q55309766']
Q687288,P279,"['Q60400479', 'Q3305213', 'Q2601788']"
Q687288,P276,['Q11458051']
Q549227,P19,['Q471886']
Q549227,P31,['Q5']
Q549227,P106,"['Q2490358', 'Q5716684', 'Q1823479', 'Q2707485', 'Q639669', 'Q2393361']"
Q549227,P735,['Q4926740']
Q549227,P27,['Q801']
Q549227,P101,"['Q184485', 'Q11639', 'Q180856', 'Q7922']"
Q549227,P21,['Q6581097']
Q549227,P10527,['Q50920401']
Q5369234,P31,"['Q11032', 'Q1153191', 'Q7094076', 'Q1331793']"
Q5369234,P127,['Q5310582']
Q5369234,P407,['Q13955']
Q5369234,P159,['Q612']
Q5369234,P495,['Q878']
Q5369234,P17,['Q878']
Q5369234,P749,['Q5310582']
Q5369234,P361,['Q54837']
Q5369234,P452,['Q3972943']
Q5369234,P3912,['Q1449648']
Q2128336,P31,['Q223393']
Q2128336,P910,['Q6267422']
Q2128336,P279,['Q571']
Q2128336,P138,"['Q112110', 'Q571']"
Q2128336,P460,['Q16551815']
Q2128336,P1889,['Q2342127']
Q33196,P31,"['Q20056177', 'Q63812927', 'Q112826905', 'Q55597235']"
Q33196,P1343,"['Q5217764', 'Q19180675', 'Q3181656', 'Q124737637']"
Q33196,P1071,"['Q9612', 'Q850653', 'Q17147']"
Q33196,P1889,"['Q1377980', 'Q63177917', 'Q105241756', 'Q115664724']"
Q33196,P156,"['Q17013437', 'Q647173', 'Q129270', 'Q2832888']"
Q33196,P155,['Q170145']
Q33196,P279,"['Q7239', 'Q112826975']"
Q33196,P5008,['Q6173448']
